Wall time,Step,Value
1764462973.1442454,8716288,-6998.0
1764463007.4050257,8749056,-5384.5
1764463060.2722704,8798208,-5692.0
1764463161.8578875,8896512,-5487.5
1764463248.3001835,8978432,-5505.5
1764463417.7436807,9142272,-4403.0
1764463521.8195255,9240576,-6195.0
1764463626.7302692,9338880,-7079.0
1764463694.665982,9404416,-5899.5
1764463803.285455,9502720,-5490.5
1764463838.1068716,9535488,-5685.5
1764463888.5589306,9584640,-4684.5
1764463922.5022883,9617408,-3997.0
1764463938.4937482,9633792,-4503.5
1764464023.5870996,9715712,-5491.5
1764464040.4308476,9732096,-5394.5
1764464190.0078661,9879552,-5202.5
1764464316.2584884,10010624,-6810.0
1764464395.4013746,10092544,-6723.0
1764464480.5524242,10174464,-7516.0
1764464512.9616213,10207232,-7414.5
1764464707.1908157,10403840,-5909.5
1764464816.516158,10518528,-6585.0
1764464832.7665226,10534912,-5974.5
1764464864.633607,10567680,-5374.5
1764464912.9830487,10616832,-4574.0
1764464944.0992255,10649600,-4994.0
1764465132.8219907,10846208,-6029.5
1764465180.2209356,10895360,-6839.0
1764465245.8604574,10960896,-6030.0
1764465293.510823,11010048,-5816.5
1764465338.713019,11059200,-6819.5
1764465401.9222178,11124736,-7435.0
1764465417.8334587,11141120,-7518.0
1764465477.7006645,11206656,-7614.5
1764465555.4260063,11288576,-6918.0
1764465730.5278158,11468800,-8209.0
1764465841.4631033,11583488,-7541.0
1764465964.1393409,11714560,-6918.0
1764466025.0975277,11780096,-7408.0
1764466087.6723435,11845632,-6191.0
1764466103.9040592,11862016,-5391.0
1764466212.5779712,11976704,-6101.0
1764466352.9316266,12124160,-6110.0
1764466415.7192843,12189696,-6384.0
1764466479.2632923,12255232,-7809.0
1764466546.7864041,12320768,-7906.0
1764466564.0528965,12337152,-7617.0
1764466632.9749937,12402688,-7512.5
1764466781.3580003,12550144,-6018.0
1764466843.7088535,12615680,-6311.0
1764466858.9937174,12632064,-6710.0
1764466875.1187267,12648448,-6429.5
1764466908.2547307,12681216,-6925.5
1764466923.9993896,12697600,-6519.5
1764467021.1880202,12795904,-8812.0
1764467083.1365023,12861440,-8129.0
1764467100.9604623,12877824,-8721.5
1764467131.9596055,12910592,-8124.5
1764467211.8706875,12992512,-7224.0
1764467227.8164432,13008896,-6822.0
1764467244.0814605,13025280,-6411.0
1764467307.8204942,13090816,-5496.0
1764467371.2477086,13156352,-5624.5
1764467454.0197675,13238272,-5828.0
1764467470.119936,13254656,-5825.0
1764467486.292825,13271040,-6219.5
1764467858.492187,13647872,-6809.5
1764467920.7787645,13713408,-6079.5
1764467951.821846,13746176,-6092.5
1764468029.72484,13828096,-5725.5
1764468411.634416,14221312,-7182.5
1764468442.476171,14254080,-7486.0
1764468522.472543,14336000,-5177.0
1764468556.520763,14368768,-4680.5
1764468620.5683424,14434304,-5193.5
1764468649.5639596,14467072,-5002.0
1764468771.2937694,14598144,-5327.5
1764468866.7055209,14696448,-7413.0
1764468932.1666713,14761984,-5507.5
1764469041.1054902,14876672,-4703.5
1764469071.5130024,14909440,-4808.5
1764469165.4596295,15007744,-7085.5
1764469196.0956943,15040512,-7090.0
1764469244.67828,15089664,-7217.0
1764469293.1299598,15138816,-6339.5
1764469420.2830098,15269888,-5990.0
1764469436.2994552,15286272,-6091.0
1764469481.754952,15335424,-6104.5
1764469593.1582344,15450112,-6292.0
1764469641.23928,15499264,-5695.5
1764469786.0948062,15646720,-6699.5
1764469852.654081,15712256,-6810.5
1764469897.9579985,15761408,-7120.5
1764469912.4628139,15777792,-7418.0
1764470052.4750972,15925248,-6554.0
1764470067.4457366,15941632,-6945.0
1764470129.9118652,16007168,-7214.5
1764470160.7092981,16039936,-6628.0
1764470175.9689596,16056320,-6315.0
1764470242.7275417,16121856,-6210.0
1764470260.065465,16138240,-6211.0
1764470308.3262956,16187392,-6331.5
1764470325.0870163,16203776,-6236.5
1764470454.3699682,16334848,-6707.0
1764470518.5643878,16400384,-6303.5
1764470549.074529,16433152,-6618.0
1764470577.7740054,16465920,-5819.5
1764470592.337319,16482304,-5925.5
1764470735.7059593,16629760,-6042.5
1764470781.9452033,16678912,-6737.5
1764470909.5805843,16809984,-8091.0
1764470940.0948389,16842752,-7910.0
1764471096.4943457,17006592,-7923.5
1764471206.645677,17121280,-5387.0
1764471408.0764887,17334272,-6412.5
1764471500.7955823,17432576,-7806.5
1764471548.3731754,17481728,-6012.0
1764471577.6376297,17514496,-6208.5
1764471639.1578183,17580032,-7417.0
1764471703.879467,17645568,-7610.0
