Wall time,Step,Value
1765149679.1444774,12730368,-8122.5
1765149770.292512,12828672,-8311.5
1765149858.3962994,12926976,-8530.0
1765150097.8984997,13189120,-6332.0
1765150112.3996708,13205504,-6345.0
1765150142.3145838,13238272,-6331.5
1765150188.2110589,13287424,-7018.0
1765150330.7283254,13434880,-5932.0
1765150529.8930988,13647872,-8123.5
1765150648.1509671,13778944,-5802.5
1765150695.1163623,13828096,-5828.5
1765150905.3974557,14057472,-8603.5
1765150983.5621269,14139392,-7885.5
1765151041.319159,14204928,-8281.5
1765151116.2062142,14286848,-6991.5
1765151337.8442333,14532608,-5126.0
1765151499.7997785,14712832,-6903.5
1765151560.8681047,14778368,-6510.0
1765151666.6194649,14893056,-5420.5
1765151997.1575446,15253504,-6192.5
1765152027.9140606,15286272,-6797.0
1765152185.9592986,15450112,-6090.0
1765152292.9052567,15564800,-5500.0
1765152505.5738087,15794176,-6506.5
1765152745.7444546,16056320,-6616.0
1765152794.1814947,16105472,-5616.5
1765152969.3321853,16302080,-7128.0
1765153043.0815225,16384000,-6311.5
1765153089.466113,16433152,-6715.5
1765153119.7905664,16465920,-6116.5
1765153291.3784745,16646144,-6751.5
1765153394.206322,16760832,-7386.5
1765153452.0868623,16826368,-7907.0
1765153481.1274242,16859136,-8514.5
1765153617.8778474,17006592,-8426.5
1765153909.80832,17317888,-5117.5
1765154120.6615615,17547264,-5814.0
1765154135.2722983,17563648,-6207.5
1765154164.8920267,17596416,-6599.0
1765154224.5148613,17661952,-6596.5
1765154366.9514468,17809408,-4697.0
1765154550.0203645,18006016,-5503.5
1765154611.0598001,18071552,-5685.5
1765154641.8018641,18104320,-6087.0
1765154687.9334347,18153472,-5805.0
1765154718.8249984,18186240,-6412.5
1765154748.6610243,18219008,-6330.0
1765154898.6024854,18382848,-6700.5
1765154961.3676696,18448384,-7007.5
1765154977.6218963,18464768,-6507.0
1765155073.2851954,18563072,-5998.0
1765155106.5274277,18595840,-5907.0
1765155183.5535588,18677760,-6502.5
1765155291.9280443,18792448,-6412.5
1765155371.4846315,18874368,-6714.5
1765155386.24207,18890752,-6609.5
1765155571.5836437,19087360,-7599.0
1765155734.42999,19251200,-5406.0
1765155765.9110692,19283968,-6102.5
1765155781.8179135,19300352,-5897.5
1765155893.5188055,19415040,-6902.0
1765155971.2447395,19496960,-7916.5
1765156033.0667803,19562496,-7522.0
1765156047.9915433,19578880,-7023.0
1765156232.7695768,19775488,-6938.0
1765156355.5885954,19906560,-4791.0
1765156416.923423,19972096,-5216.0
1765156498.0588212,20054016,-6688.5
1765156530.0668302,20086784,-6976.5
1765156819.9470694,20398080,-7413.0
1765156849.660296,20430848,-6016.5
1765156924.0909216,20512768,-6523.5
1765156938.263379,20529152,-5932.5
1765156968.2095692,20561920,-6309.5
1765157012.9632208,20611072,-6520.0
1765157074.1523044,20676608,-6010.0
1765157163.2196124,20774912,-5904.0
1765157222.9741726,20840448,-7484.5
1765157303.0180745,20922368,-8300.5
1765157396.1029782,21020672,-6193.0
1765157439.9748068,21069824,-6804.0
1765157515.2558508,21151744,-8513.0
1765157562.119965,21200896,-8416.5
1765157638.5494304,21282816,-7588.0
1765157702.207683,21348352,-7179.0
1765157766.6551268,21413888,-8011.0
1765157905.3044846,21561344,-6423.5
1765158015.2240338,21676032,-7047.5
1765158061.8379972,21725184,-7735.0
1765158076.7697299,21741568,-7734.5
1765158217.453121,21889024,-7735.0
1765158367.2843177,22052864,-7835.5
1765158596.6640322,22298624,-6419.0
1765158660.1598477,22364160,-8018.5
1765158825.6423924,22544384,-7101.0
1765158842.1377404,22560768,-6705.5
1765158902.8421557,22626304,-6514.5
1765159104.0655231,22839296,-8339.0
1765159481.5030673,23232512,-6601.0
1765159771.1936045,23543808,-7204.0
1765159802.277524,23576576,-7904.0
1765159818.5282605,23592960,-8198.0
1765159973.224629,23756800,-7729.0
1765160094.4283743,23887872,-4714.0
1765160110.464693,23904256,-4513.5
1765160156.5469155,23953408,-5395.0
1765160359.7076833,24166400,-5830.0
1765160388.9317155,24199168,-6415.5
1765160560.8424635,24379392,-5624.0
1765160610.540742,24428544,-5813.0
1765160671.5790012,24494080,-4612.5
1765160735.3650093,24559616,-4919.5
1765160795.7670555,24625152,-5706.0
1765160903.0532274,24739840,-7013.5
1765160919.4922905,24756224,-6528.0
1765160967.5175266,24805376,-6441.0
1765161014.5185668,24854528,-7221.5
1765161204.8894258,25051136,-6523.0
1765161293.749839,25149440,-7418.0
1765161352.8808892,25214976,-8245.0
1765161503.5121655,25378816,-5915.5
1765161549.4403906,25427968,-5304.0
1765161776.5075052,25657344,-7025.0
1765161823.995702,25706496,-5906.0
1765161899.9252756,25788416,-4889.5
1765161947.0644743,25837568,-5006.0
1765162088.8976781,25985024,-7475.5
1765162252.8952394,26165248,-5519.0
1765162327.7033806,26247168,-6021.0
1765162357.6803248,26279936,-5924.0
1765162719.954706,26673152,-8131.5
1765162838.8426907,26804224,-5741.0
1765162871.571252,26836992,-6316.5
1765162914.9722278,26886144,-6010.0
1765163007.1475856,26984448,-7506.5
1765163021.7695825,27000832,-6097.5
1765163134.0243926,27115520,-5105.5
1765163250.7509031,27246592,-6004.0
1765163312.237659,27312128,-5404.0
1765163371.9894207,27377664,-5706.5
1765163484.58763,27492352,-7101.0
1765163514.7823257,27525120,-7296.0
1765163603.9303756,27623424,-6412.0
1765163742.2269094,27770880,-6391.0
1765163865.9805882,27901952,-5925.0
1765163896.3235776,27934720,-5326.5
1765163942.9172654,27983872,-6518.5
1765163990.7133572,28033024,-6308.0
1765164005.509593,28049408,-6211.5
1765164110.4520736,28164096,-7012.5
1765164171.119905,28229632,-5912.5
1765164186.1387043,28246016,-6312.5
1765164289.8145938,28360704,-8031.5
1765164427.1737022,28508160,-7197.0
1765164490.743483,28573696,-7086.5
1765164520.7635515,28606464,-6204.0
1765164658.2048943,28753920,-7086.0
1765164824.204155,28934144,-6810.5
1765164977.001159,29097984,-6733.5
1765165005.628208,29130752,-7843.0
1765165116.0806887,29245440,-8332.5
1765165195.1804688,29327360,-8041.5
1765165242.2198157,29376512,-7516.0
1765165364.3830552,29507584,-6808.5
1765165661.1668441,29818880,-6507.0
1765165831.439503,29999104,-6533.5
1765165951.1433108,30130176,-6091.0
1765166087.9413242,30277632,-6509.5
1765166147.7595344,30343168,-5890.0
1765166287.3109193,30490624,-6226.0
1765166361.408521,30572544,-6709.5
1765166377.299448,30588928,-6812.0
1765166392.0969977,30605312,-7120.0
1765166637.061065,30867456,-7716.0
1765166712.2592294,30949376,-8212.0
1765166879.56762,31129600,-6421.5
1765166925.3184953,31178752,-6605.0
1765167021.0817957,31277056,-6207.5
1765167035.8260336,31293440,-6212.0
1765167095.671325,31358976,-6229.0
1765167175.008619,31440896,-5608.0
1765167265.5107486,31539200,-7096.0
1765167280.0469527,31555584,-6802.5
1765167447.0091853,31735808,-7432.0
1765167508.525423,31801344,-8131.5
1765167523.5111017,31817728,-7245.0
1765167582.680005,31883264,-7732.0
1765167612.7292895,31916032,-7030.0
1765167746.4695685,32063488,-6015.5
1765167806.7462728,32129024,-6324.0
1765167821.4501855,32145408,-5813.5
1765167851.7313209,32178176,-6620.0
1765167866.2789273,32194560,-7019.0
1765167897.0957935,32227328,-7211.0
1765168062.980504,32407552,-6916.5
1765168094.7170975,32440320,-7532.0
1765168215.085889,32571392,-7452.0
1765168229.9923549,32587776,-7339.0
1765168276.5113895,32636928,-7631.0
1765168805.31899,33210368,-6918.5
1765169131.4662502,33554432,-5709.0
1765169259.7275884,33685504,-7021.0
